model,reference_scene_id,master_sequence_id,order_id,T,repeat,latency_ms,start_allocated_bytes,peak_allocated_bytes,incremental_peak_allocated_bytes,window_voxel_points,window_segments
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,7,576.797122,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,8,576.610014,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,4,9,576.854443,614812160,2015870976,1401058816,100742,4181
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,0,687.717633,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,1,688.364718,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,2,687.739377,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,3,690.618608,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,4,687.560258,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,5,688.194681,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,6,687.424682,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,7,688.735194,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,8,689.170013,623108096,2409272320,1786164224,130500,6378
C2,280d8ebb-6cc6-2788-9153-98959a2da801,scene0119_00-scene0119_02-scene0119_03-scene0119_01-scene0119_04,canonical,5,9,690.128399,623108096,2409272320,1786164224,130500,6378
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,0,492.349377,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,1,493.419434,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,2,492.224823,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,3,492.540414,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,4,492.274112,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,5,492.728665,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,6,492.416873,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,7,493.222577,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,8,492.949236,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,2,9,493.059499,610789376,1734483968,1123694592,81299,2187
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,0,496.034198,610396160,1732671488,1122275328,81724,2266
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,1,496.975153,610396160,1732671488,1122275328,81724,2266
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,2,496.043433,610396160,1732671488,1122275328,81724,2266
C2,5630cfcf-12bf-2860-8784-83d28a611a83,scene0219_00-scene0219_03-scene0219_02-scene0219_01-scene0219_04,canonical,3,3,496.965259,610396160,1732671488,1122275328,81724,2266
