population_id,variant,checkpoint_sha256,training_seed,evaluation_seed,reference_id,episode_id,T,absolute_stage_index,generation_mismatch_count,matched_query_count,null_win_count,read_valid_tokens,stored_current_tokens,stored_historical_tokens,stored_occupied_slots,stored_valid_tokens,valid_read_count,attention_scale,content_control,enabled,null_mass_mean,read_output_norm,max_source_age,mean_source_age
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-623782959294dced,5,4,0,15,4,136,0,136,17,136,11,11.321606636047363,native,True,0.14602600038051605,1.1795361042022705,4,1.9558823108673096
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-f09c5990e548bf07,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-f09c5990e548bf07,5,1,0,8,3,59,0,59,8,59,5,11.321606636047363,native,True,0.1704016923904419,0.44800934195518494,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-f09c5990e548bf07,5,2,0,14,7,100,0,100,15,100,7,11.321606636047363,native,True,0.2828238904476166,0.738383948802948,2,1.2999999523162842
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-f09c5990e548bf07,5,3,0,13,7,105,0,105,16,105,6,11.321606636047363,native,True,0.26645079255104065,0.6613242030143738,3,1.7809524536132812
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-f09c5990e548bf07,5,4,0,14,8,111,0,111,16,111,6,11.321606636047363,native,True,0.29594770073890686,0.6361642479896545,4,2.2162163257598877
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-79bb6bd8f1789a30,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-79bb6bd8f1789a30,5,1,0,14,5,98,0,98,14,98,9,11.321606636047363,native,True,0.24738800525665283,0.9546767473220825,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-79bb6bd8f1789a30,5,2,0,13,6,108,0,108,15,108,7,11.321606636047363,native,True,0.24649594724178314,0.7402087450027466,2,1.685185194015503
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-79bb6bd8f1789a30,5,3,0,14,6,117,0,117,16,117,8,11.321606636047363,native,True,0.2548682987689972,0.8432284593582153,3,1.8974360227584839
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-79bb6bd8f1789a30,5,4,0,13,5,136,0,136,18,136,8,11.321606636047363,native,True,0.22725676000118256,0.8217065334320068,4,2.125
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-6ff44acdb1328d85,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-6ff44acdb1328d85,5,1,0,13,7,88,0,88,13,88,6,11.321606636047363,native,True,0.3265880048274994,0.6800020933151245,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-6ff44acdb1328d85,5,2,0,13,6,100,0,100,14,100,7,11.321606636047363,native,True,0.22840148210525513,0.8122736811637878,2,1.4199999570846558
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-6ff44acdb1328d85,5,3,0,12,5,103,0,103,14,103,7,11.321606636047363,native,True,0.20422878861427307,0.8108230233192444,3,1.9126213788986206
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-6ff44acdb1328d85,5,4,0,14,6,106,0,106,14,106,8,11.321606636047363,native,True,0.2440652996301651,0.9268110394477844,4,2.3490567207336426
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-3d66f663d7e83e45,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-3d66f663d7e83e45,5,1,0,11,5,88,0,88,11,88,6,11.321606636047363,native,True,0.22572721540927887,0.6535394191741943,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-3d66f663d7e83e45,5,2,0,14,4,120,0,120,15,120,10,11.321606636047363,native,True,0.17022113502025604,1.1146268844604492,2,1.4666666984558105
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-3d66f663d7e83e45,5,3,0,15,6,146,0,146,19,146,9,11.321606636047363,native,True,0.27018868923187256,0.8469555377960205,3,2.0136985778808594
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,10b17936-3938-2467-88ba-ba5fe2debf14,tmv2-3d66f663d7e83e45,5,4,0,14,7,148,0,148,19,148,7,11.321606636047363,native,True,0.2481297254562378,0.7447787523269653,4,2.222973108291626
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,1776ad7e-4db7-2333-89e1-66854e82170c,tmv2-9a98083122718ebb,5,0,0,0,0,0,0,0,0,0,0,11.321606636047363,native,True,1.0,0.0,N/A,N/A
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,1776ad7e-4db7-2333-89e1-66854e82170c,tmv2-9a98083122718ebb,5,1,0,5,4,40,0,40,5,40,1,11.321606636047363,native,True,0.2693769931793213,0.08630896359682083,1,1.0
development_common_h5_canonical,M3-V-CORE,1b883db3faf26f168274853857719786125d640e24377f99d427d2b8aec7793f,45,45,1776ad7e-4db7-2333-89e1-66854e82170c,tmv2-9a98083122718ebb,5,2,0,5,2,40,0,40,5,40,3,11.321606636047363,native,True,0.2439277619123459,0.2587251663208008,2,1.524999976158142
