tracker,score_reducer,reference_scene_id,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC,inference_unit
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,4,6,0.012200546450912952,0.025893816724419594,0.15491662919521332,0.05029502511024475,0.1039215698838234,0.24105392396450043,0.4771590828895569,0.737598180770874,0.8262032270431519,0.5863610506057739,0.4771590828895569,0.737598180770874,0.8262032270431519,0.5863610506057739,reference_scene_id
B2,latest,10b17940-3938-2467-8a7a-958300ba83d3,sha256_seed45,5,10,0.09930827468633652,0.13791850209236145,0.14071029424667358,0.17992010712623596,0.2330065369606018,0.2700435519218445,0.6436281204223633,0.7474701404571533,0.7613590359687805,0.7120370268821716,0.6436281204223633,0.7474701404571533,0.7613590359687805,0.7120370268821716,reference_scene_id
B2,latest,137a8158-1db5-2cc0-8003-31c12610471e,sha256_seed45,5,12,0.0168333537876606,0.06708116084337234,0.09353384375572205,0.09106013178825378,0.20327772200107574,0.20327772200107574,0.3350999057292938,0.5326281785964966,0.658012866973877,0.44462764263153076,0.3350999057292938,0.5326281785964966,0.658012866973877,0.44462764263153076,reference_scene_id
B2,latest,280d8ebb-6cc6-2788-9153-98959a2da801,sha256_seed45,5,5,0.1284722238779068,0.265625,0.265625,0.1597222238779068,0.3125,0.3571428656578064,0.6697531342506409,0.7824074625968933,0.9518518447875977,0.7160494327545166,0.6697531342506409,0.7824074625968933,0.9518518447875977,0.7160494327545166,reference_scene_id
B2,latest,5630cfcf-12bf-2860-8784-83d28a611a83,sha256_seed45,5,5,0.12345679104328156,0.3333333432674408,0.5555555820465088,0.12345679104328156,0.3333333432674408,0.5555555820465088,0.5010287761688232,0.7407407760620117,0.9351851940155029,0.5679012537002563,0.5010287761688232,0.7407407760620117,0.9351851940155029,0.5679012537002563,reference_scene_id
B2,latest,8eabc45f-5af7-2f32-8528-640861d2a135,sha256_seed45,5,5,0.00930301658809185,0.01766173727810383,0.1420394480228424,0.08564814925193787,0.1666666716337204,0.2291666716337204,0.5741534233093262,0.726190447807312,0.9085034132003784,0.6216931343078613,0.5741534233093262,0.726190447807312,0.9085034132003784,0.6216931343078613,reference_scene_id
B2,latest,ddc73797-765b-241a-9e2c-097c5989baf6,sha256_seed45,5,6,0.01328977569937706,0.035772904753685,0.1512846201658249,0.053455453366041183,0.09988988935947418,0.23334577679634094,0.35635247826576233,0.6369386911392212,0.8660841584205627,0.43932539224624634,0.35635247826576233,0.6369386911392212,0.8660841584205627,0.43932539224624634,reference_scene_id
B2,max,10b17940-3938-2467-8a7a-958300ba83d3,canonical,2,10,0.3584309220314026,0.5322296619415283,0.5631736516952515,0.5463483929634094,0.6961400508880615,0.7262986898422241,0.5275519490242004,0.7151755094528198,0.7491113543510437,0.7352715730667114,0.556598961353302,0.7414668202400208,0.7678972482681274,0.7352715730667114,reference_scene_id
B2,max,137a8158-1db5-2cc0-8003-31c12610471e,canonical,2,12,0.2731699049472809,0.463228702545166,0.5292225480079651,0.42203962802886963,0.5948969125747681,0.6485943794250488,0.43806663155555725,0.6646063327789307,0.758931040763855,0.5646557807922363,0.43916022777557373,0.6590098142623901,0.756643533706665,0.5646557807922363,reference_scene_id
B2,max,280d8ebb-6cc6-2788-9153-98959a2da801,canonical,2,5,0.30100634694099426,0.48583918809890747,0.6188592910766602,0.36858969926834106,0.573693037033081,0.6931288838386536,0.5107805728912354,0.7456799745559692,0.8877651691436768,0.6228996515274048,0.5483886003494263,0.7878963947296143,0.9180539846420288,0.6228996515274048,reference_scene_id
