tracker,score_reducer,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC
B3,latest,canonical,3,43,0.10881265997886658,0.18196576833724976,0.35373160243034363,0.25403520464897156,0.3793956935405731,0.5408778786659241,0.3722105622291565,0.5636523365974426,0.7781248688697815,0.5032063126564026,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B3,latest,canonical,4,43,0.05077075958251953,0.09204034507274628,0.23711134493350983,0.17392027378082275,0.26641321182250977,0.4169541597366333,0.37252601981163025,0.5639541745185852,0.7788800597190857,0.5028339624404907,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B3,latest,canonical,5,43,0.029720135033130646,0.05614128336310387,0.19406162202358246,0.12317737191915512,0.19316883385181427,0.34522730112075806,0.3734106719493866,0.5651854276657104,0.7796314358711243,0.5031508207321167,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B3,latest,reverse,2,43,0.20957283675670624,0.3338119685649872,0.5341047644615173,0.3534207344055176,0.5317513346672058,0.6981421709060669,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,latest,reverse,3,43,0.09878414869308472,0.16614732146263123,0.3337728679180145,0.23906970024108887,0.3725956678390503,0.5323041081428528,0.38024359941482544,0.5599650740623474,0.7670450806617737,0.510774552822113,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,latest,reverse,4,43,0.040897052735090256,0.07269031554460526,0.21304477751255035,0.1557970494031906,0.25237348675727844,0.4024910032749176,0.38016340136528015,0.5598302483558655,0.7677204608917236,0.5111438632011414,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,latest,reverse,5,43,0.021427538245916367,0.037080202251672745,0.16346098482608795,0.10961723327636719,0.17967185378074646,0.32178205251693726,0.38000693917274475,0.5593705773353577,0.7671562433242798,0.5101860761642456,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,latest,sha256_seed45,2,43,0.19148142635822296,0.27304986119270325,0.4650026559829712,0.32949647307395935,0.5248408913612366,0.6341582536697388,0.4066821336746216,0.5765329599380493,0.7118186950683594,0.522435188293457,0.4066821336746216,0.5765329599380493,0.7118186950683594,0.522435188293457
B3,latest,sha256_seed45,3,43,0.11451505124568939,0.18855276703834534,0.3347315490245819,0.25273799896240234,0.4431336224079132,0.5141141414642334,0.4550597369670868,0.6505872011184692,0.7620928287506104,0.6180028915405273,0.4550597369670868,0.6505872011184692,0.7620928287506104,0.6180028915405273
B3,latest,sha256_seed45,4,43,0.05341155081987381,0.08907913416624069,0.22417211532592773,0.15205983817577362,0.27599456906318665,0.37400272488594055,0.3610721528530121,0.5973870158195496,0.8014020323753357,0.5044739246368408,0.3610721528530121,0.5973870158195496,0.8014020323753357,0.5044739246368408
