method,reference_scene_id,master_sequence_id,order_id,horizon,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC,deployment_id_switches,identity_transition_opportunities,fragmentation_count,fragmentation_opportunities,merge_count,merge_opportunities,gap_opportunities,recovery_attempts,correct_recoveries,normalized_id_switch_rate,fragmentation_rate,merge_rate,gap_recovery_accuracy,gap_recovery_recall,update_scan_count,update_point_count,cumulative_scan_count
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,4,0.2926954925060272,0.5648148059844971,0.7402777671813965,0.32098764181137085,0.6111111044883728,0.7777777910232544,0.7663360238075256,0.8988094925880432,1.0,0.8650793433189392,9,9,11,11,0,0,4,2,0,1.0,1.0,,0.0,0.0,4,150818,9
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,4,0.32113462686538696,0.4444444477558136,0.4444444477558136,0.327160507440567,0.4444444477558136,0.4444444477558136,0.8216931819915771,1.0,1.0,0.8492063283920288,1,10,2,13,2,13,4,3,2,0.1,0.15384615384615385,0.15384615384615385,0.6666666666666666,0.5,2,51638,6
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,5,0.2888374626636505,0.5,0.6111111044883728,0.3024691343307495,0.5,0.6111111044883728,0.841821014881134,1.0,1.0,0.8888888955116272,13,13,16,16,1,1,5,3,0,1.0,1.0,1.0,0.0,0.0,5,189258,14
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,canonical,5,0.2995230257511139,0.4444444477558136,0.4444444477558136,0.31481480598449707,0.4444444477558136,0.4444444477558136,0.8611111044883728,1.0,1.0,0.8888888955116272,1,14,2,18,2,18,5,4,3,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.75,0.6,2,38440,8
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,2,0.75,0.9375,0.9375,0.7708333134651184,0.9375,0.9375,0.7460317611694336,0.9285714030265808,0.944727897644043,0.7698412537574768,4,4,4,4,0,0,0,0,0,1.0,1.0,,,,2,90078,2
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,2,0.7248263955116272,0.9375,0.9375,0.7847222089767456,0.9375,0.9375,0.7665343880653381,0.9583333730697632,0.9583333730697632,0.841269850730896,0,4,0,4,0,4,0,0,0,0.0,0.0,0.0,,,2,51638,2
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,3,0.4125514626502991,0.49074071645736694,0.6851851940155029,0.6234567761421204,0.7222222089767456,0.8333333134651184,0.3731481432914734,0.3916666507720947,0.7361111640930176,0.6481481194496155,6,6,7,7,0,0,1,1,0,1.0,1.0,,0.0,0.0,3,117833,5
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,3,0.41512346267700195,0.4861111044883728,0.6805555820465088,0.5123456716537476,0.6111111044883728,0.7222222089767456,0.5648148059844971,0.7083333134651184,1.0,0.7592592835426331,0,6,0,7,1,8,1,1,1,0.0,0.0,0.125,1.0,1.0,2,27755,4
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,4,0.353042334318161,0.6111111044883728,0.8333333134651184,0.37037035822868347,0.6111111044883728,0.8333333134651184,0.5490740537643433,0.8055555820465088,1.0,0.6172839403152466,9,9,13,13,2,2,4,4,0,1.0,1.0,1.0,0.0,0.0,4,156813,9
Persist4D-V2,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,4,0.30439814925193787,0.4861111044883728,0.5694444179534912,0.37037035822868347,0.6111111044883728,0.6111111044883728,0.5767489671707153,0.8055555820465088,0.8888888955116272,0.7222222089767456,0,9,0,12,1,13,4,3,3,0.0,0.0,0.07692307692307693,1.0,0.75,2,38980,6
FullHistory,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,reverse,5,0.2685736119747162,0.5,0.6111111044883728,0.2839506268501282,0.5,0.6111111044883728,0.7896825671195984,0.9285714030265808,0.9285714030265808,0.8015872836112976,14,14,18,19,3,4,5,5,1,1.0,0.9473684210526315,0.75,0.2,0.2,5,189258,14
