method,reference_id,master_sequence_id,T,scope,measured_repeats,state_snapshot_sha256,median_latency_ms,mean_latency_ms,std_latency_ms,loaded_model_allocated_bytes,absolute_peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,922.638329,922.3832044,4.287696958102708,593637376,3022708736,2429071360,13042188288,0,0,4601114,13217501
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,3,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,11.769471,12.168254300000001,0.5127873818699228,593637376,593637376,0,13042188288,0,0,4601114,13217501
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,4,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,5012.8258255,5009.2106206,43.55298487889768,593637376,3764840448,3171203072,13042188288,0,0,5937837,17152154
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,4,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1764.266231,1765.2878304,20.950647633878635,593637376,3770212352,3176574976,13042188288,0,0,5937837,17152154
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,4,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,1164.3934199999999,1187.9689395,53.033789237258524,593637376,3770223104,3176585728,13042188288,0,0,5937837,17152154
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,4,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,15.3424075,14.1929081,1.5423954032042142,593637376,593637376,0,13042188288,0,0,5937837,17152154
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,5,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,7062.5260325,7048.7742318,81.25769756877713,593637376,4240331776,3646694400,13042188288,0,0,6801748,19553111
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,5,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,2119.8938035,2122.3601975,59.77251909988505,593637376,4242647552,3649010176,13042188288,0,0,6801748,19553111
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,5,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,1450.2382305,1462.1086035,72.80306254721972,593637376,4242652672,3649015296,13042188288,0,0,6801748,19553111
FH-CONT,8eabc45f-5af7-2f32-8528-640861d2a135,scene0309_00-scene0309_02-scene0309_01-scene0309_04-scene0309_03,5,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,15.881071500000001,15.3841873,0.7862342259199926,593637376,593637376,0,13042188288,0,0,6801748,19553111
FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,2,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,1747.5350935000001,1750.2587581,8.039144035615172,593637376,2469979648,1876342272,13042188288,0,0,3793578,11066976
FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,2,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1107.9395279999999,1111.1117757,11.102160967662366,593637376,2469621248,1875983872,13042188288,0,0,3793578,11066976
FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,2,model_update,10,0000000000000000000000000000000000000000000000000000000000000000,773.37414,773.4287489,3.936508278315984,593637376,2469619200,1875981824,13042188288,0,0,3793578,11066976
FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,2,output_materialization,10,0000000000000000000000000000000000000000000000000000000000000000,10.360636,10.3577892,0.11460968844281866,593637376,593637376,0,13042188288,0,0,3793578,11066976
FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,cumulative_T1_to_T,10,0000000000000000000000000000000000000000000000000000000000000000,3532.5464925,3596.1797319,171.98100295813896,593637376,3462503424,2868866048,13042188288,0,0,5932835,17138589
FH-CONT,ddc73797-765b-241a-9e2c-097c5989baf6,scene0449_00-scene0449_04-scene0449_05-scene0449_03-scene0449_01,3,end_to_end_update,10,0000000000000000000000000000000000000000000000000000000000000000,1731.705661,1738.7638295,16.23452426221083,593637376,3462886912,2869249536,13042188288,0,0,5932835,17138589
