method,reference_id,master_sequence_id,order_id,T,scope,repeat,state_snapshot_sha256,latency_ms,loaded_model_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes,peak_reserved_bytes,cpu_state_bytes,visual_state_bytes,lag1_buffer_bytes,archive_bytes,point_count,superpoint_count,occupied_count,query_count,precision,source_commit
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,2,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1309.228452,559363072,1315653120,756290048,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,3,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1357.156778,559363072,1315653120,756290048,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,4,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1371.957292,559363072,1315627008,756263936,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,5,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1342.144194,559363072,1315566080,756203008,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,6,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1409.052696,559363072,1315677696,756314624,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,7,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1403.541083,559363072,1315592192,756229120,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,8,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1308.360984,559363072,1315582464,756219392,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,end_to_end_update,9,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,1425.691593,559363072,1315555840,756192768,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,output_materialization,0,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,3.121266,559363072,592923648,33560576,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,output_materialization,1,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,3.132194,559363072,592923648,33560576,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
M3-V-CORE,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,canonical,3,output_materialization,2,a5666236bf3881d108ab852776ee8659c7a884711a3c687eb2782a1aab9c33e0,3.119858,559363072,592923648,33560576,2164260864,62616,427200,1467013,4230624,50920,1823,11,100,torch.float32,1f7c14ad5e7d7457222d5254d3d8d0a695d97954
