method,method_description,order_id,horizon,sequence_count,trajectory_candidate_count_total,trajectory_candidate_count_mean,empty_trajectory_mask_count,empty_trajectory_mask_rate,current_stage_candidate_count_total,current_stage_candidate_count_mean,score_count,score_min,score_q25,score_median,score_q75,score_max,score_mean,score_std,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,current_stage_AP,current_stage_AP50,current_stage_AP25,current_stage_REC
P1,V2 official candidates with B4 identity,reverse,4,43,15811,367.69767441860466,6017,0.38055783947884386,2571,59.7906976744186,15811,0.0,0.0006525319768115878,0.0026420424692332745,0.009880464989691973,0.9977166652679443,0.08079349424303912,0.23538361536004188,0.0839800015091896,0.1554277241230011,0.29244399070739746,0.1726631224155426,0.29627087712287903,0.44253960251808167,0.3741271197795868,0.5708733201026917,0.7807249426841736,0.5111438632011414
P1,V2 official candidates with B4 identity,reverse,5,43,19588,455.5348837209302,7746,0.39544619154584437,2571,59.7906976744186,19588,0.0,0.000679849719745107,0.002719625481404364,0.009980825707316399,0.9977166652679443,0.07729801553851068,0.22927732034576515,0.05898100882768631,0.11403209716081619,0.22712087631225586,0.12585897743701935,0.22669929265975952,0.3546859622001648,0.3643885850906372,0.5657157301902771,0.776258647441864,0.5101860761642456
F0,FullHistory official task prediction,sha256_seed45,2,43,4300,100.0,583,0.1355813953488372,2393,55.651162790697676,4300,0.0,0.0009939344599843025,0.0036448780447244644,0.019558757543563843,0.9970799088478088,0.14701509695035658,0.3184047140678908,0.1711808741092682,0.24638503789901733,0.4208407700061798,0.3174183666706085,0.4886535704135895,0.6269838809967041,0.407415509223938,0.5788251757621765,0.7066320180892944,0.5237429141998291
F0,FullHistory official task prediction,sha256_seed45,3,43,4300,100.0,418,0.09720930232558139,2264,52.651162790697676,4300,0.0,0.0019212758634239435,0.005653398111462593,0.042942650616168976,0.997790515422821,0.17507438364470523,0.33903103672282253,0.10536342114210129,0.1814330667257309,0.341503769159317,0.25162041187286377,0.4466939866542816,0.5634286403656006,0.4406520426273346,0.6616812944412231,0.7681812047958374,0.5835323929786682
F0,FullHistory official task prediction,sha256_seed45,4,43,4300,100.0,313,0.0727906976744186,2456,57.116279069767444,4300,0.0,0.002134679176378995,0.007976890541613102,0.11068211495876312,0.9977551102638245,0.19657598769223875,0.3500134282661699,0.07458800822496414,0.14682969450950623,0.26690179109573364,0.20881201326847076,0.3713606894016266,0.4703744947910309,0.37656667828559875,0.6091493368148804,0.7957767844200134,0.501038670539856
F0,FullHistory official task prediction,sha256_seed45,5,43,4300,100.0,339,0.07883720930232559,2167,50.395348837209305,4300,0.0,0.0019145475525874645,0.008550353348255157,0.17764125764369965,0.9970775246620178,0.20608032190020273,0.3516848320381258,0.044928643852472305,0.08609679341316223,0.16184259951114655,0.13143137097358704,0.2292863428592682,0.3931214213371277,0.4201193153858185,0.6292964816093445,0.7868200540542603,0.5535133481025696
L0,Local official candidates without persistent identity,sha256_seed45,2,43,8600,200.0,2634,0.30627906976744185,2445,56.86046511627907,8600,0.0,0.0006012137600919232,0.002682983293198049,0.01148723904043436,0.9971504807472229,0.12481973321644418,0.3000848176749617,0.09022774547338486,0.12389438599348068,0.22464342415332794,0.22463805973529816,0.36731138825416565,0.40029534697532654,0.4066821336746216,0.5765329599380493,0.7118186950683594,0.522435188293457
L0,Local official candidates without persistent identity,sha256_seed45,3,43,12900,300.0,4322,0.33503875968992247,2612,60.74418604651163,12900,0.0,0.0006222509400686249,0.0028219164814800024,0.01278358744457364,0.9973536133766174,0.12729567647323553,0.30179229944375213,0.05533744394779205,0.0752028301358223,0.16964459419250488,0.1553608477115631,0.2730160653591156,0.2902701199054718,0.4550597369670868,0.6505872011184692,0.7620928287506104,0.6180028915405273
L0,Local official candidates without persistent identity,sha256_seed45,4,43,17200,400.0,5871,0.3413372093023256,2751,63.97674418604651,17200,0.0,0.0007081382791511714,0.0032320194877684116,0.01518163806758821,0.9978502988815308,0.13274317078879946,0.30558596915545067,0.015702564269304276,0.02178484946489334,0.11250937730073929,0.07777152210474014,0.1340966671705246,0.18953388929367065,0.3610721528530121,0.5973870158195496,0.8014020323753357,0.5044739246368408
L0,Local official candidates without persistent identity,sha256_seed45,5,43,21500,500.0,7456,0.3467906976744186,2715,63.13953488372093,21500,0.0,0.0007553028990514576,0.003406354459002614,0.01705285906791687,0.9978502988815308,0.13750285038463556,0.30927993710703267,0.004930330440402031,0.008965548127889633,0.09767141938209534,0.054787881672382355,0.10255926102399826,0.1560407131910324,0.44437670707702637,0.6596354246139526,0.806799590587616,0.5617372989654541
L1,Legacy raw-observation conversion without persistent identity,sha256_seed45,2,43,887,20.627906976744185,5,0.005636978579481398,435,10.116279069767442,887,0.5311705470085144,0.9533318281173706,0.991675615310669,0.9985871613025665,0.9999215602874756,0.9418896579151089,0.1068402864544227,0.049424681812524796,0.06640761345624924,0.17680561542510986,0.1786615252494812,0.21548399329185486,0.33345842361450195,0.34483668208122253,0.5257953405380249,0.6058269739151001,0.454964816570282
L1,Legacy raw-observation conversion without persistent identity,sha256_seed45,3,43,1315,30.58139534883721,5,0.0038022813688212928,428,9.953488372093023,1315,0.5132185220718384,0.9431344866752625,0.9919074773788452,0.998528003692627,0.9999215602874756,0.9361872337616896,0.11539851930278167,0.022654622793197632,0.029998742043972015,0.13567711412906647,0.11891668289899826,0.14651045203208923,0.25740888714790344,0.3458426296710968,0.5719903707504272,0.6575478911399841,0.4819708466529846
L1,Legacy raw-observation conversion without persistent identity,sha256_seed45,4,43,1859,43.23255813953488,6,0.0032275416890801506,543,12.627906976744185,1859,0.5070058703422546,0.9343163371086121,0.991675615310669,0.9982854723930359,0.9999215602874756,0.9321278962414389,0.11905987059813708,0.006527714431285858,0.008100803941488266,0.10325362533330917,0.057700663805007935,0.06908687204122543,0.17541982233524323,0.29901397228240967,0.5128211379051208,0.6945328116416931,0.40136104822158813
