file_name,gt_instance_id,gt_label,size_points,size_bin,segments_per_gt,within_instance_feature_variance,nearest_instance_cosine_margin,mean_segment_purity,mean_gt_instances_per_segment
scene0039_01-scene0039_00,7,4,5093,large_ge1000,200,0.0593232698738575,0.13532757759094238,1.0,1.0
scene0039_01-scene0039_00,9,11,5586,large_ge1000,211,0.07145816087722778,0.2453365921974182,1.0,1.0
scene0039_01-scene0039_00,10,0,6051,large_ge1000,259,0.007686545606702566,0.11711883544921875,1.0,1.0
scene0039_01-scene0039_00,11,0,6283,large_ge1000,280,0.02683287113904953,0.08911633491516113,1.0,1.0
scene0039_01-scene0039_00,13,0,2344,large_ge1000,73,0.014730952680110931,0.08864116668701172,1.0,1.0
scene0039_01-scene0039_00,23,2,1105,large_ge1000,102,0.013782001100480556,0.13532757759094238,1.0,1.0
scene0039_01-scene0039_00,24,2,1147,large_ge1000,115,0.09531918913125992,0.15026122331619263,0.9999999403953552,0.9999999403953552
scene0039_01-scene0039_00,29,8,559,medium_100_999,28,0.011373667046427727,0.08864116668701172,1.0,1.0
scene0039_01-scene0039_00,45,0,1896,large_ge1000,52,0.07823039591312408,0.29427313804626465,1.0,1.0
scene0059_00-scene0059_01,2,1,3558,large_ge1000,68,0.015284297987818718,0.2685292363166809,1.0,1.0
scene0059_00-scene0059_01,4,17,13040,large_ge1000,462,0.4646676480770111,0.472090482711792,1.0,1.0
scene0059_00-scene0059_01,6,2,976,medium_100_999,55,0.09987985342741013,0.3142926096916199,0.9999999403953552,0.9999999403953552
scene0059_00-scene0059_01,17,6,1187,large_ge1000,47,0.15007133781909943,0.024641335010528564,0.9999999403953552,0.9999999403953552
scene0059_00-scene0059_01,19,11,664,medium_100_999,14,0.03445781394839287,0.024641335010528564,1.0,1.0
scene0059_00-scene0059_01,24,8,155,medium_100_999,1,0.0,0.06418198347091675,1.0,1.0
scene0059_00-scene0059_01,25,8,225,medium_100_999,8,0.07994944602251053,0.048812687397003174,1.0,1.0
scene0059_00-scene0059_01,27,4,1375,large_ge1000,35,0.11713292449712753,0.2685292363166809,1.0,1.0
scene0059_00-scene0059_01,29,0,636,medium_100_999,20,0.06548028439283371,0.16105234622955322,1.0,1.0
scene0059_00-scene0059_01,34,4,460,medium_100_999,15,0.2344539761543274,0.048812687397003174,1.0,1.0
scene0059_00-scene0059_01,35,11,1049,large_ge1000,47,0.27623850107192993,0.04729938507080078,0.9999999403953552,0.9999999403953552
scene0059_00-scene0059_01,37,0,387,medium_100_999,15,0.03924526646733284,0.13745397329330444,1.0,1.0
scene0059_00-scene0059_01,56,2,470,medium_100_999,24,0.1832086741924286,0.18402045965194702,1.0,1.0
scene0059_01-scene0059_00,2,1,3569,large_ge1000,68,0.01266155019402504,0.25892210006713867,1.0,1.0
scene0059_01-scene0059_00,4,17,13041,large_ge1000,456,0.42177629470825195,0.4482076168060303,1.0,1.0
scene0059_01-scene0059_00,6,2,974,medium_100_999,54,0.10833171755075455,0.30677175521850586,1.0,1.0
scene0059_01-scene0059_00,17,6,1186,large_ge1000,47,0.09492029994726181,0.024766147136688232,0.9999999403953552,0.9999999403953552
scene0059_01-scene0059_00,19,11,660,medium_100_999,14,0.016223793849349022,0.024766147136688232,1.0,1.0
scene0059_01-scene0059_00,24,8,155,medium_100_999,1,0.0,0.04847884178161621,1.0,1.0
scene0059_01-scene0059_00,25,8,224,medium_100_999,8,0.07817168533802032,0.04847884178161621,1.0,1.0
scene0059_01-scene0059_00,26,11,506,medium_100_999,15,0.4825012981891632,0.17022490501403809,1.0,1.0
scene0059_01-scene0059_00,27,4,1377,large_ge1000,35,0.10818228125572205,0.25892210006713867,1.0,1.0
scene0059_01-scene0059_00,31,8,244,medium_100_999,8,0.2112119495868683,0.017949223518371582,1.0,1.0
scene0059_01-scene0059_00,32,8,351,medium_100_999,6,0.2652156352996826,0.017949223518371582,1.0,1.0
scene0059_01-scene0059_00,34,4,461,medium_100_999,15,0.24486641585826874,0.06296426057815552,1.0,1.0
scene0059_01-scene0059_00,37,0,387,medium_100_999,14,0.06508174538612366,0.12868553400039673,1.0,1.0
scene0059_01-scene0059_00,56,2,470,medium_100_999,24,0.08233489096164703,0.26466143131256104,1.0,1.0
scene0069_00-scene0069_09,2,17,3923,large_ge1000,95,0.0568060539662838,0.3270934224128723,1.0,1.0
scene0069_00-scene0069_09,4,6,1053,large_ge1000,76,0.019857045263051987,0.3497874140739441,1.0,1.0
scene0069_00-scene0069_09,7,5,2160,large_ge1000,39,0.017869338393211365,0.21683412790298462,1.0,1.0
scene0069_00-scene0069_09,10,11,7100,large_ge1000,396,0.03159547597169876,0.21683412790298462,1.0,1.0
scene0069_00-scene0069_09,12,3,3348,large_ge1000,104,0.10361248254776001,0.19396913051605225,1.0,1.0
scene0069_00-scene0069_09,13,0,939,medium_100_999,29,0.0012016299879178405,0.09088337421417236,1.0,1.0
scene0069_00-scene0069_09,16,10,5009,large_ge1000,230,0.01814466528594494,0.19396913051605225,0.9999999403953552,0.9999999403953552
scene0069_00-scene0069_09,23,2,1361,large_ge1000,71,0.004578860476613045,0.2617719769477844,1.0,1.0
scene0069_00-scene0069_09,24,4,788,medium_100_999,37,0.17480164766311646,0.07391315698623657,1.0,1.0
scene0069_00-scene0069_09,26,2,798,medium_100_999,51,0.015928665176033974,0.3497874140739441,1.0,1.0
scene0069_00-scene0069_09,29,17,234,medium_100_999,4,0.0038604491855949163,0.07391315698623657,1.0,1.0
scene0069_01-scene0069_07,2,17,3679,large_ge1000,129,0.11764413118362427,0.3583453297615051,1.0,1.0
scene0069_01-scene0069_07,4,6,1045,large_ge1000,51,0.04298018664121628,0.2539554238319397,1.0,1.0
scene0069_01-scene0069_07,7,5,836,medium_100_999,5,0.0030245264060795307,0.1600612998008728,1.0,1.0
scene0069_01-scene0069_07,10,11,6541,large_ge1000,422,0.06982749700546265,0.07154542207717896,1.0,1.0
scene0069_01-scene0069_07,11,6,1145,large_ge1000,54,0.08489967882633209,0.07154542207717896,1.0,1.0
scene0069_01-scene0069_07,12,3,3215,large_ge1000,69,0.04225519672036171,0.3134666681289673,1.0,1.0
scene0069_01-scene0069_07,13,0,1086,large_ge1000,42,0.004979207646101713,0.39936405420303345,1.0,1.0
scene0069_01-scene0069_07,16,10,5679,large_ge1000,265,0.20953376591205597,0.39936405420303345,1.0,1.0
scene0069_01-scene0069_07,23,2,733,medium_100_999,32,0.020460354164242744,0.3134666681289673,1.0,1.0
